Run ID,Ruleset,Shoe ID,Rounds,Counter Net,Basic Net,Max Bet Opportunities,Max Bets Placed,TC-4 Freq,TC-4 Wins,TC-4 Losses,TC-4 WinRate,TC-3 Freq,TC-3 Wins,TC-3 Losses,TC-3 WinRate,TC-2 Freq,TC-2 Wins,TC-2 Losses,TC-2 WinRate,TC-1 Freq,TC-1 Wins,TC-1 Losses,TC-1 WinRate,TC+0 Freq,TC+0 Wins,TC+0 Losses,TC+0 WinRate,TC+1 Freq,TC+1 Wins,TC+1 Losses,TC+1 WinRate,TC+2 Freq,TC+2 Wins,TC+2 Losses,TC+2 WinRate,TC+3 Freq,TC+3 Wins,TC+3 Losses,TC+3 WinRate,TC+4 Freq,TC+4 Wins,TC+4 Losses,TC+4 WinRate
1,FullHiLoRules,8457,15,0.0,-12.5,0,0,0,0,0,,2,0,0,,1,0,0,,3,0,0,,5,0,0,,1,0,0,,3,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8458,15,0.0,36.25,0,0,0,0,0,,1,0,0,,7,0,0,,5,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8459,15,0.0,3.75,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,5,0,0,,3,0,0,,7,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8460,15,0.0,33.75,0,0,0,0,0,,1,0,0,,2,0,0,,6,0,0,,6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8461,15,0.0,13.75,0,0,2,0,0,,3,0,0,,2,0,0,,0,0,0,,5,0,0,,3,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8462,15,0.0,0.0,1,0,0,0,0,,0,0,0,,0,0,0,,3,0,0,,5,0,0,,4,0,0,,1,0,0,,1,0,0,,1,0,0,
1,FullHiLoRules,8463,15,0.0,13.75,0,0,0,0,0,,2,0,0,,5,0,0,,4,0,0,,4,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8464,14,0.0,35.0,0,0,5,0,0,,2,0,0,,0,0,0,,3,0,0,,3,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8465,15,0.0,12.5,0,0,9,0,0,,2,0,0,,1,0,0,,2,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8466,15,0.0,51.25,0,0,5,0,0,,2,0,0,,1,0,0,,5,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8467,15,0.0,18.75,0,0,4,0,0,,0,0,0,,3,0,0,,3,0,0,,3,0,0,,1,0,0,,1,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8468,15,0.0,47.5,0,0,0,0,0,,1,0,0,,9,0,0,,3,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8469,15,0.0,12.5,0,0,1,0,0,,2,0,0,,0,0,0,,2,0,0,,5,0,0,,5,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8470,15,0.0,-35.0,0,0,0,0,0,,0,0,0,,0,0,0,,1,0,0,,6,0,0,,5,0,0,,3,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8471,15,0.0,-15.0,4,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4,0,0,,5,0,0,,1,0,0,,1,0,0,,4,0,0,
1,FullHiLoRules,8472,14,0.0,55.0,2,0,0,0,0,,0,0,0,,0,0,0,,2,0,0,,4,0,0,,2,0,0,,1,0,0,,3,0,0,,2,0,0,
